Name,Country,Category,Purpose,OrbitClass,OrbitType,Longitude,Mass,LaunchDate,Contractor,LaunchSite,LaunchVehicle,Grouped_Purpose
1HOPSAT-TD,USA,Commercial,Earth Observation,LEO,Non-Polar Inclined,0.0,22,2019-12-11,Hera Systems,Satish Dhawan Space Centre,PSLV,Earth Observation
AAC AIS-Sat1 (Kelpie 1),United Kingdom,Commercial,Earth Observation,LEO,Sun-Synchronous,0.0,4,2023-01-03,AAC Clyde Space,Cape Canaveral,Falcon 9,Earth Observation
Aalto-1,Finland,Civil,Technology Development,LEO,Sun-Synchronous,0.0,5,2017-06-23,Aalto University,Satish Dhawan Space Centre,PSLV,Technology Development
AAt-4,Denmark,Civil,Earth Observation,LEO,Sun-Synchronous,0.0,1,2016-04-25,University of Aalborg,Guiana Space Center,Soyuz-2.1a,Earth Observation
Adelis-Sampson 1,Israel,Government,Technology Development,LEO,Sun-Synchronous,0.0,9,2021-03-22,Asher Space Research Institute at Technion/Israeli Aircraft Industries,Baikonur Cosmodrome,Soyuz-2.1a,Technology Development
Adelis-Sampson 2,Israel,Government,Technology Development,LEO,Sun-Synchronous,0.0,9,2021-03-22,Asher Space Research Institute at Technion/Israeli Aircraft Industries,Baikonur Cosmodrome,Soyuz-2.1a,Technology Development
Adelis-Sampson 3,Israel,Government,Technology Development,LEO,Sun-Synchronous,0.0,9,2021-03-22,Asher Space Research Institute at Technion/Israeli Aircraft Industries,Baikonur Cosmodrome,Soyuz-2.1a,Technology Development
ADLER-2,Austria,Civil,Earth Science,LEO,Sun-Synchronous,0.0,12,2023-04-15,Spire Global,Vandenberg AFB,Falcon 9,Earth Science
Aeneas,USA,Government,Technology Development,LEO,Equatorial,0.0,3,2012-09-13,University of Southern California,Vandenberg AFB,Atlas 5,Technology Development
Aerocube 11A,USA,Commercial,Technology Development,LEO,Polar,0.0,4,2018-12-17,Aerospace Corporation,Rocket Lab Launch Complex 1,Electron,Technology Development
Aerocube 11B,USA,Commercial,Technology Development,LEO,Polar,0.0,4,2018-12-17,Aerospace Corporation,Rocket Lab Launch Complex 1,Electron,Technology Development
Aerocube 12A,USA,Commercial,Technology Development,LEO,Non-Polar Inclined,0.0,4,2018-07-16,Aerospace Corporation,Cygnus,Nanorack Deployer,Technology Development
Aerocube 12B,USA,Commercial,Technology Development,LEO,Non-Polar Inclined,0.0,4,2018-07-16,Aerospace Corporation,Cygnus,Nanorack Deployer,Technology Development
Aerocube 5C,USA,Commercial,Technology Development,LEO,Non-Polar Inclined,0.0,2,2015-10-08,Aerospace Corporation,Vandenberg AFB,Atlas 5,Technology Development
Aerocube 6A,USA,Commercial,Technology Development,LEO,Sun-Synchronous,0.0,5,2014-06-19,Aerospace Corporation,Dombarovsky Air Base,Dnepr,Technology Development
Aerocube 6B,USA,Commercial,Technology Development,LEO,Sun-Synchronous,0.0,5,2014-06-19,Aerospace Corporation,Dombarovsky Air Base,Dnepr,Technology Development
Aerocube 7A,USA,Commercial,Technology Development,LEO,Non-Polar Inclined,0.0,2,2015-10-08,Aerospace Corporation,Vandenberg AFB,Atlas 5,Technology Development
Aerocube 8C,USA,Commercial,Technology Development,LEO,Sun-Synchronous,0.0,5,2016-11-11,Aerospace Corporation,Vandenberg AFB,Atlas 5,Technology Development
Aerocube 8D,USA,Commercial,Technology Development,LEO,Sun-Synchronous,0.0,2,2016-11-11,Aerospace Corporation,Vandenberg AFB,Atlas 5,Technology Development
AII-Bravo,Lithuania,Commercial,Communications,LEO,Sun-Synchronous,0.0,9,2021-04-29,NanoAvionics,Guiana Space Center,Vega W18,Communications
AII-Charlie,Lithuania,Commercial,Communications,LEO,Sun-Synchronous,0.0,9,2021-01-24,NanoAvionics,Cape Canaveral,Falcon 9,Communications
